video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=jD_RdrB-cuc&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,"Advocates say I-5 lid projects could add open space, connections over freeway",1.6K,2 years,Supports say it would connect the neighborhoods divided by I-5 and reduce pollution.,2026-01-20 20:38:48.290799
/watch?v=c5_bAnxrqWs&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,Dashcam video shows 21 car pileup on I-5 as it happens,922,6 hours,A viewer sent in dashcam video as they narrowly avoided being in the 21-car pileup crash on I-5 N in Fife on Monday.,2026-01-20 20:38:48.292714
/watch?v=etQ_WLSQNmk&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,"Washington, Oregon considering adding tolls for I-5 bridge",1.3K,1 year,The Washington State Transportation Commission met with the Oregon Department of Transportation Tuesday to discuss tolls on ...,2026-01-20 20:38:48.294120
/watch?v=N-QgbWnAXxU&pp=ygUGSS01IFdB,/@NewsWatch12,NewsWatch 12,$1.5 million coming for I-5 bridge replacement,200,1 year,"The bridge is in between Portland and Vancouver, WA.",2026-01-20 20:38:48.295543
/watch?v=w5XCEwbSmIQ&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,Miles long traffic jams expected on I-5 in Tacoma this weekend,2.5K,5 years,"WSDOT is narrowing a section of northbound I-5 this weekend to one lane, which will cause long delays.",2026-01-20 20:38:48.296935
/watch?v=-em3GzgLAF4&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,Multi-car accident on I-5 in Tacoma a big mess,1.2K,7 years,Both north and southbound lanes of I-5 near the Hwy 16 exit are affected.,2026-01-20 20:38:48.299681
/watch?v=Da92mEX1UsU&pp=ygUGSS01IFdB,/@fox13seattle,FOX 13 Seattle,Revive I-5 construction on Seattle's Ship Canal Bridge begins,2.7K,11 days,"WSDOT is warning Seattle drivers to plan ahead for traffic as Revive I-5: Ship Canal Bridge Preservation work begins Jan. 9, 2026 ...",2026-01-20 20:38:48.301109
/watch?v=RiPLoTNU9Q4&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,Washington adds orange lane striping to I-5 work zone for first time,13K,2 years,Orange lane striping was added last week along an Interstate 5 construction zone in Fife in order to improve worker and driver ...,2026-01-20 20:38:48.302466
/watch?v=_ZLQvc5Yl1Y&pp=ygUGSS01IFdB0gcJCU8KAYcqIYzv,/@KING5Seattle,KING 5 Seattle,I-5 closures this weekend,147,7 years,KING 5's Michael Crowe reports.,2026-01-20 20:38:48.303815
/watch?v=7Li7FRrMLdA&pp=ygUGSS01IFdB,/@KGWNews8,KGW News,"Head of I-5 bridge replacement project says it's time to get it done, but critics remain",2.4K,4 years,"Greg Johnson, the leader of the Interstate Bridge Replacement project, and Joe Cortright, a Portland economist opposed to ...",2026-01-20 20:38:48.307039
/watch?v=CilcvWg04Gg&pp=ygUGSS01IFdB,/@komonews,KOMO News,TRAFFIC ALERT: Northbound I-5 in Seattle FULLY CLOSED this weekend,2.8K,5 months,A full closure of the northbound I-5 across the Ship Canal Bridge in Seattle will continue this weekend despite the expected ...,2026-01-20 20:38:48.308503
/watch?v=RGKYbhRa_sA&pp=ygUGSS01IFdB0gcJCU8KAYcqIYzv,/@i5.commuters,i5 Commuters,An Interview with Washington State Trooper Kameron Watts | The i5 Commuter's Show on the Road,3.8K,7 days,The Unfiltered questions you've always wanted to ask a cop but never had the chance or the guts. We are just as surprised as you ...,2026-01-20 20:38:48.310535
/watch?v=H244aI9lr6M&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,WSDOT reopens NB I-5 lanes early after weekend repairs,1K,5 months,The lanes reopened on Sunday night. WSDOT originally planned to reopen the lanes on Monday morning.,2026-01-20 20:38:48.311879
/watch?v=6RZzWTJHSqs&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,Major traffic change coming to I-5 in Tacoma,325,8 years,KING 5's Jenna Hanchard reports.,2026-01-20 20:38:48.313265
/watch?v=6eiL28jU2rQ&pp=ygUGSS01IFdB,/@fox13seattle,FOX 13 Seattle,WSP: 3 dead in hit-and-run DUI crash on I-5 in Lakewood,699,7 years,Three people were killed in a crash early Thursday morning on southbound Interstate 5 in Lakewood. MORE: ...,2026-01-20 20:38:55.190043
/watch?v=ZAZbfBFOXzE&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,I-5 closure through downtown Seattle snarls traffic,5.5K,5 months,"The roadway will reopen at 5 a.m. Monday, Aug. 18.",2026-01-20 20:38:55.191563
/watch?v=izLKd51cx4k&pp=ygUGSS01IFdB,/@fox13seattle,FOX 13 Seattle,"Two crashes snarl traffic on I-5 in Lynnwood, WA",892,10 months,A crash and another incident on both sides of I-5 in Lynnwood are causing traffic disruptions Monday evening as police and ...,2026-01-20 20:38:55.193051
/watch?v=bj42FqvRbEw&pp=ygUGSS01IFdB,/@KOINLOCAL6,KOIN 6,Families worried they’ll lose homes due to Ore-Wash I-5 bridge replacement,2.5K,1 year,"As plans move forward for replacing the Interstate 5 bridge that connects Washington and Oregon, some residents are worried ...",2026-01-20 20:38:55.194502
/watch?v=FvBUOMKt-vE&pp=ygUGSS01IFdB,/@CBSNews,CBS News,I-5 bridge collapses north of Seattle,1K,12 years,"A section of the Riverside Bridge, which carries traffic along Interstate-5 near Seattle collapsed after a truck hit an overhead beam, ...",2026-01-20 20:38:55.197770
/watch?v=7t3QYSVzB6Q&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,How to get around the Seattle I-5 closure this weekend,1.3K,7 years,"WSDOT will close all lanes of northbound I-5 between the West Seattle Bridge and Olive Way starting at 8 p.m. Friday, June 1 until ...",2026-01-20 20:38:55.199106
/watch?v=Nei_UYW1Dsw&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,NB I-5 sees typical backups for first evening commute,134,7 years,It's not just Seattle – the viaduct closure is impacting traffic across the region. Chris Ingalls reports on the road in StormKING.,2026-01-20 20:38:55.200309
/watch?v=0lGrc2gR3zs&pp=ygUGSS01IFdB,/@komonews,KOMO News,Motorcyclist dies after police chase down I-5 ends in Lakewood crash,14K,2 months,"A police pursuit ended in a deadly crash in Lakewood on Tuesday at the intersection of South Tacoma Way and 100th Street SW, ...",2026-01-20 20:38:55.201580
/watch?v=MC4pdS45sPU&pp=ygUGSS01IFdB0gcJCU8KAYcqIYzv,/@KING5Seattle,KING 5 Seattle,"WSDOT plans major I-405, I-5 lane closures this weekend",1.2K,2 months,"Weather could cancel the I-405 construction, but rain will not affect the I-5 lane reductions over the weekend, WSDOT said.",2026-01-20 20:38:55.202845
/watch?v=X0geL1dYkyk&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,"I-5 completely blocked due to flooding, landslides near Bellingham",7.7K,4 years,All lanes of Interstate 5 south of Bellingham will be closed overnight due to flooding and active landslides threatening the highway ...,2026-01-20 20:38:55.204061
